DEBUG 2022-12-10 12:28:10,652 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ascap_reskpi]
DEBUG 2022-12-10 12:28:10,991 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CND_PROP_SERVICES]
DEBUG 2022-12-10 12:28:11,333 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorIncidentContactXref]
DEBUG 2022-12-10 12:28:11,895 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CCGPARKINGPASS]
DEBUG 2022-12-10 12:28:12,239 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [GLTemplateRow]
DEBUG 2022-12-10 12:28:12,590 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [BGSECURE]
DEBUG 2022-12-10 12:28:12,926 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ServiceChargeType]
DEBUG 2022-12-10 12:28:13,267 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [COMMCLAUSEGROUP]
DEBUG 2022-12-10 12:28:13,625 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ONT_NX_FORMS_ADDR]
DEBUG 2022-12-10 12:28:13,964 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CmPageConfig]
DEBUG 2022-12-10 12:28:14,333 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorGPRParam]
DEBUG 2022-12-10 12:28:14,692 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [cmVatNonRecoveryPercent]
DEBUG 2022-12-10 12:28:15,144 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [TIBillOutsideParty]
DEBUG 2022-12-10 12:28:15,512 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ImportCommExpensepool]
DEBUG 2022-12-10 12:28:15,842 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ICBPersonSetup]
DEBUG 2022-12-10 12:28:16,394 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorOrderPassVitalNotCharted]
DEBUG 2022-12-10 12:28:16,967 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [stuMoveInCharge]
DEBUG 2022-12-10 12:28:17,416 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [gprhistory]
